time,progress,x,y,z
25.01185,0,-26.37929,0.5800049,251.1671
25.20823,0,-26.37929,0.5800048,251.1671
25.40739,0,-26.37929,0.5800048,251.1671
25.59982,0,-26.15463,0.580005,251.0054
25.81185,0,-24.42993,0.580005,249.7638
26.00371,0,-21.01659,0.580005,247.3065
26.19216,0,-18.01392,0.580005,245.1449
26.39555,0,-14.93822,0.580005,242.624
26.61185,0,-12.43,0.580005,239.9501
26.81185,0,-9.797403,0.580005,237.0861
26.99572,0,-6.981604,0.580005,234.0666
27.21185,0,-4.474039,0.580005,231.3775
27.39218,0,-1.712928,0.580005,228.4166
27.61185,0,0.5656433,0.580005,225.9731
27.80394,0,2.948517,0.580005,223.4178
28.01185,0,3.274725,0.580005,223.0388
28.21185,0,3.274725,0.580005,223.0388
28.409,0,3.274725,0.5800049,223.0388
28.60369,0,3.274725,0.5800049,223.0388
28.81185,0,3.274725,0.5800048,223.0388
29.01176,0,3.274725,0.5800048,223.0388
29.19583,0,3.274725,0.5800048,223.0388
29.39564,0,3.274725,0.5800048,223.0388
29.60024,0,3.274725,0.5800048,223.0388
29.79996,0,3.274725,0.5800048,223.0388
30.01185,0,3.274725,0.5800048,223.0388
30.20809,0,3.274725,0.5800048,223.0388
30.39561,0,2.859351,0.580005,221.9567
30.61185,0,2.356009,0.580005,220.6455
30.80395,0,1.352506,0.580005,218.0313
31.00362,0,0.976686,0.580005,217.0522
31.21185,0,0.976686,0.580005,217.0522
31.40007,0,0.976686,0.580005,217.0522
31.6039,0,0.976686,0.580005,217.0522
31.80018,0,0.976686,0.580005,217.0522
32.00375,0,0.976686,0.5800046,217.0522
32.21185,0,0.976686,0.5800046,217.0522
32.39963,0,0.976686,0.5800046,217.0522
32.59976,0,0.976686,0.5800046,217.0522
32.80816,0,0.976686,0.5800046,217.0522
32.99632,0,0.976686,0.5800046,217.0522
33.19981,0,0.7438806,0.580005,217.0035
33.40833,0,-1.365095,0.580005,216.5552
33.59644,1,-2.713319,0.580005,216.2686
33.7934,1,-2.713319,0.580005,216.2686
33.99227,1,-2.713319,0.580005,216.2686
34.19564,1,-2.713319,0.580005,216.2686
34.39606,1,-2.713319,0.5800048,216.2686
34.6081,1,-2.713319,0.5800048,216.2686
34.81184,1,-2.713319,0.5800048,216.2686
35.00433,1,-2.713319,0.5800048,216.2686
35.21185,1,-2.713319,0.5800048,216.2686
35.41165,1,-2.713319,0.5800048,216.2686
35.6116,1,-2.713319,0.5800048,216.2686
35.80464,1,-2.713319,0.5800048,216.2686
35.99658,1,-2.713319,0.5800048,216.2686
36.19971,1,-2.713319,0.5800048,216.2686
36.4118,1,-2.713319,0.5800048,216.2686
36.60786,1,-2.713319,0.5800048,216.2686
36.79993,1,-2.713319,0.5800048,216.2686
37.0077,1,-2.713319,0.5800048,216.2686
37.21185,1,-2.713319,0.5800048,216.2686
37.39193,1,-2.713319,0.5800048,216.2686
37.59195,1,-2.713319,0.5800048,216.2686
37.81184,1,-2.713319,0.5800048,216.2686
38.01185,1,-2.713319,0.5800048,216.2686
38.21185,1,-2.713319,0.5800048,216.2686
38.3919,1,-2.713319,0.5800048,216.2686
38.60768,1,-2.713319,0.5800048,216.2686
38.81184,1,-2.713319,0.5800048,216.2686
38.99663,1,-2.713319,0.5800048,216.2686
39.20399,1,-2.713319,0.5800048,216.2686
39.40378,1,-2.713319,0.5800048,216.2686
39.59703,1,-2.713319,0.5800048,216.2686
39.80398,1,-2.713319,0.5800048,216.2686
39.9996,1,-2.713319,0.5800048,216.2686
40.19976,1,-2.713319,0.580003,216.2686
40.39289,1,-2.713319,0.580003,216.2686
40.59576,1,-2.713319,0.580003,216.2686
40.80367,1,-2.713319,0.580003,216.2686
40.99583,1,-2.713319,0.580003,216.2686
41.19969,1,-2.713319,0.580003,216.2686
41.40104,1,-2.713319,0.580003,216.2686
41.60388,1,-2.713319,0.580003,216.2686
41.79965,1,-2.713319,0.580003,216.2686
41.99989,1,-2.713319,0.580003,216.2686
42.19581,1,-2.713319,0.580003,216.2686
42.39583,1,-2.713319,0.580003,216.2686
42.61185,1,-2.713319,0.580003,216.2686
42.81183,1,-2.713319,0.580003,216.2686
43.01184,1,-2.713319,0.580003,216.2686
43.21185,1,-2.713319,0.580003,216.2686
43.41184,1,-2.713319,0.580003,216.2686
43.60825,1,-2.713319,0.580003,216.2686
43.80759,1,-2.713319,0.580003,216.2686
43.99623,1,-2.713319,0.580003,216.2686
44.1919,1,-2.713319,0.580003,216.2686
44.41184,1,-2.713319,0.580003,216.2686
44.59244,1,-2.713319,0.580003,216.2686
44.79203,1,-2.713319,0.580003,216.2686
45.01184,1,-2.713319,0.580003,216.2686
45.19567,1,-2.713319,0.580003,216.2686
45.40382,1,-2.713319,0.580003,216.2686
45.6089,1,-2.713319,0.580003,216.2686
45.81184,1,-2.713319,0.580003,216.2686
46.0075,1,-2.713319,0.580003,216.2686
46.19682,1,-2.713319,0.580003,216.2686
46.39953,1,-2.713319,0.580003,216.2686
46.60395,1,-2.713319,0.580003,216.2686
46.81184,1,-2.713319,0.580003,216.2686
47.0001,1,-2.713319,0.580003,216.2686
47.19971,1,-2.713319,0.580003,216.2686
47.39558,1,-2.713319,0.580003,216.2686
47.59966,1,-2.713319,0.580003,216.2686
47.80795,1,-2.713319,0.580003,216.2686
47.99551,1,-2.713319,0.580003,216.2686
48.2082,1,-2.713319,0.580003,216.2686
48.39578,1,-2.713319,0.580003,216.2686
48.60037,1,-2.713319,0.580003,216.2686
48.80378,1,-2.713319,0.580003,216.2686
49.01184,1,-2.713319,0.580003,216.2686
49.19577,1,-2.713319,0.580003,216.2686
49.40829,1,-2.713319,0.580003,216.2686
49.59572,1,-2.713319,0.580003,216.2686
49.79964,1,-2.713319,0.580003,216.2686
49.99198,1,-2.713319,0.580003,216.2686
50.19553,1,-2.713319,0.580003,216.2686
50.40364,1,-2.713319,0.580003,216.2686
50.59547,1,-2.713319,0.580003,216.2686
50.80373,1,-2.713319,0.580003,216.2686
50.992,1,-2.713319,0.580003,216.2686
51.19204,1,-2.713319,0.580003,216.2686
51.40005,1,-2.713319,0.580003,216.2686
51.59225,1,-2.713319,0.580003,216.2686
51.80788,1,-2.713319,0.580003,216.2686
51.99956,1,-2.713319,0.580003,216.2686
52.21185,1,-2.713319,0.580003,216.2686
52.41167,1,-2.698092,0.5800065,216.1619
52.5993,1,-2.434051,0.5800059,214.4622
52.81184,1,-1.885237,0.5800093,210.9875
52.99561,1,-1.151218,0.5800104,206.9294
53.21185,1,-0.02732006,0.5800109,203.6232
53.39568,1,1.370089,0.5800097,199.4091
53.61185,1,2.408273,0.5800049,195.7449
53.79845,1,3.538389,0.5800081,191.7238
53.99576,1,4.810596,0.5800048,188.0241
54.21185,1,6.326302,0.5800052,184.6137
54.40377,1,8.912528,0.5800098,181.0889
54.61185,1,11.59399,0.58001,178.5684
54.79684,1,14.74691,0.5800057,176.1073
54.99564,1,17.55867,0.5800107,173.4053
55.20411,1,20.50678,0.5800063,170.5553
55.40372,1,23.39885,0.580008,167.9845
55.60397,1,24.95418,0.5800055,166.5455
55.79967,1,25.08522,0.5800047,166.4243
56.00428,1,25.08522,0.5800047,166.4243
56.21185,1,25.08522,0.5800047,166.4243
56.39623,1,25.08522,0.5800047,166.4243
56.59614,1,25.08522,0.5800047,166.4243
56.81184,1,26.09174,0.5800082,165.6924
56.99584,1,28.98201,0.5800071,163.5906
57.19189,1,32.14343,0.5800086,161.2917
57.39215,1,35.37276,0.5800112,158.9433
57.60395,1,38.13956,0.5800104,155.8519
57.81184,1,38.81728,0.5800097,152.1745
58.00362,1,39.33846,0.5800045,148.3146
58.20805,1,39.56487,0.5800098,146.8415
58.39594,1,39.56532,0.5800055,146.8387
58.60759,1,39.56532,0.5800055,146.8387
58.8078,1,39.56532,0.5800055,146.8387
59.00015,1,39.56532,0.5800055,146.8387
59.21185,1,39.62198,0.5800104,146.5206
59.39607,1,39.62198,0.5800049,146.5206
59.60466,1,39.62198,0.5800049,146.5206
59.80818,1,39.62198,0.579994,146.5206
59.99194,1,39.62198,0.579994,146.5206
60.20007,1,39.62198,0.579994,146.5206
60.40392,1,39.62198,0.579994,146.5206
60.61185,1,39.62198,0.579994,146.5206
60.81184,1,39.62198,0.579994,146.5206
61.01184,1,39.62198,0.579994,146.5206
61.21185,1,39.62198,0.579994,146.5206
61.41184,1,39.62198,0.579994,146.5206
61.61185,1,39.87616,0.5799924,146.2078
61.80362,1,41.72975,0.5799944,143.9572
61.99963,1,44.20345,0.5799998,140.9538
62.19966,1,46.72789,0.5799951,137.8887
62.4002,1,49.21928,0.5799933,134.8638
62.61185,1,50.5798,0.5800009,133.2119
62.81184,1,50.76495,0.5799974,132.9871
62.99565,1,50.76495,0.5799937,132.9871
63.19971,1,50.76495,0.5799937,132.9871
63.396,1,50.76495,0.5799937,132.9871
63.61185,1,50.76495,0.5799937,132.9871
63.81184,1,50.76495,0.5799937,132.9871
64.01184,1,50.76495,0.5799937,132.9871
64.21185,1,50.76495,0.5799937,132.9871
64.41184,1,50.76495,0.5799937,132.9871
64.61185,1,50.76495,0.5799937,132.9871
64.81184,1,50.76495,0.5799937,132.9871
65.00766,1,50.76495,0.5799937,132.9871
65.20844,1,50.76495,0.5799937,132.9871
65.40359,1,50.76495,0.5799937,132.9871
65.59935,1,50.76495,0.5799937,132.9871
65.80787,1,50.76495,0.5799937,132.9871
65.99588,1,50.76495,0.5799937,132.9871
66.19186,1,50.76495,0.5799937,132.9871
66.40411,1,50.76495,0.5799937,132.9871
66.61185,1,51.09419,0.5800023,131.8342
66.80828,1,52.40662,0.5799964,128.1843
67.00375,1,53.80315,0.5800073,124.5379
67.2039,1,55.24814,0.5800049,120.8097
67.41184,1,56.59328,0.5799959,117.3905
67.61185,1,57.93851,0.5799929,113.852
67.80868,1,57.30955,0.580005,112.528
67.99593,1,57.27401,0.580005,112.5165
68.19975,1,57.27401,0.580005,112.5165
68.39979,1,57.27401,0.580005,112.5165
68.59968,1,57.27401,0.580005,112.5165
68.80873,1,57.27401,0.5800048,112.5165
69.00758,1,57.27401,0.5800048,112.5165
69.1921,1,57.27401,0.5800048,112.5165
69.41184,1,57.27401,0.5800048,112.5165
69.59949,1,57.27401,0.5800048,112.5165
69.79977,1,57.27401,0.5800048,112.5165
70.01169,1,57.27401,0.5800048,112.5165
70.19968,1,57.27401,0.5800048,112.5165
70.40421,1,57.27401,0.5800048,112.5165
